uid,body,title,url,newspapper_uid,host,n_tokens_title,n_tokens_body
1696bbb1ad58f04f0276a32cdf78523f,"El celular es una de las herramientas más importantes de cualquier persona en la actualidad; ya sea para entretenerse, estar conectado con sus seres queridos o trabajar. Es difícil pensar en la vida sin un dispositivo que reúna todas estas características en un pequeño cuerpo metálico (o de plástico). Y, aunque la tendencia de uso de los celulares venía en aumento, desde que se inició la cuarentena se ha visto un crecimiento exponencial del tiempo que se está conectado.","Celular para teletrabajo, más que un dispositivo para recibir llamadas",https://www.eltiempo.com//tecnosfera/novedades-tecnologia/aplicaciones-y-funciones-del-celular-que-lo-haran-mas-productivo-512096,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,5,35
dded1d7b0d5830bb0487007ff5906377,"Aprendidas las lecciones que dejó el día sin IVA, no solo en cuanto a contar con una operación más ordenada y coordinada, bajo la batuta de los alcaldes de cada ciudad y población, sino también adoptar mecanismos para agilizar las compras y las transacciones, el país se alista para la segunda de estas jornadas en el año, que será el próximo viernes 3 de julio. (Le recomendamos: Así puede consultar su saldo para los giros del ingreso solidario)",Los ajustes que traería la segunda jornada sin IVA de este viernes,https://www.eltiempo.com//economia/sectores/dia-sin-iva-medidas-para-evitar-problemas-con-la-segunda-jornada-en-colombia-511920,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,6,39
6b388f112d506a3935612a8e3a4ccf2c,"Atalanta sigue ganando a ritmo colombiano. Este domingo el equipo italiano se impuso 1-3 al Udinese con goles de Duván Zapata y de Luis Fernando Muriel, este último anotando dos de los goles más bonitos del fin de semana.",Doblete de Muriel: ¡tremendos goles del colombiano con Atalanta!,https://www.eltiempo.com//deportes/futbol-internacional/video-goles-luis-fernando-muriel-en-el-udinese-vs-atalanta-512146,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,5,23
a62a6357f1840d33baf400f614780fad,"El jueves pasado, el Departamento Administrativo Nacional de Estadística (Dane) dio a conocer los datos vitales para el primer trimestre del 2020, en un informe que era esperado para saber, entre otras cosas, el exceso de mortalidad en Colombia en medio de la pandemia de covid-19, un indicador vital dentro de las estadísticas de un país.",Muertes por covid serían más que las oficiales en Colombia,https://www.eltiempo.com//salud/coronavirus-cifras-y-datos-de-muertes-sospechosas-por-covid-19-en-colombia-512056,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,4,27
2813614f32a65a619d15d45a37cef5a7,"Jinetes del paraíso es un documental dirigido por Talía Osorio Cardona que presenta, a través de un trabajo de más de una década, la riqueza de los Llanos Orientales al mundo. Su narrador es Cholo Valderrama, un jinete y músico cuya pasión por su tierra lo ha convertido, más que un vocero de esa región, en un rapsoda de la Orinoquia colombiana.","Cholo Valderrama, un jinete del paraíso",https://www.eltiempo.com//cultura/musica-y-libros/entrevista-a-cholo-valderrama-por-alejandro-marin-511788,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,4,29
ae5fb423d844d50082dd2a3a24969985,"Recientemente, Baran Bo Odar y Jantje Friese, los artífices de la serie alemana 'Dark', confesaron que eran pesimistas frente al éxito y alcance de su propuesta televisiva: una aventura paranormal, con narrativa que requería una mayor atención y un historia que no sigue los pasos cómodos para agradar, pero que en este momento es una de las producciones europeas más queridas por el público de la plataforma de Netflix.",La serie de Netflix ‘Dark’ se despide con más oscuridad y complejidad,https://www.eltiempo.com//cultura/cine-y-tv/netflix-y-la-temporada-final-de-dark-la-serie-que-embrujo-al-mundo-511766,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,6,34
fea44325772398cc1c292f85f6de9987,"Real Madrid visita al español, partido por la fecha 32 de la Liga de Epaña, en la que es segundo con 68 puntos, a uno del Barcelona. James Rodríguez es suplente. ",EN VIVO: siga el minuto a minuto del partido Español vs. Real Madrid,https://www.eltiempo.com//deportes/futbol-internacional/en-vivo-espanol-vs-real-madrid-fecha-32-de-la-liga-de-espana-512144,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,8,14
c7081f368ce35de04b159e24a7fbeec8,Las autoridades dispusieron investigaciones para determinar la procededencia y los móviles de los autores de estas muertes violentas. Hasta ahora no se ha encontrado conexión entre los casos.,En un día fueron asesinadas cuatro mujeres en el Valle del Cauca,https://www.eltiempo.com//colombia/cali/cuatro-sicariatos-de-mujeres-en-el-valle-del-cauca-en-un-dia-511780,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,6,13
be7a621da9e7b8e8aa5a5a992e55ffb5,"En Asia, China ejercita su músculo, Japón regresa a la arena militar, Corea del Norte está sin líder, India es apabullada por China. Trump y Putin, los dos en trance de reelección, no son instancia confiable para la tranquilidad global, ni siquiera en Venezuela.",rayos en asia truenos en america columna de luis carlos villegas 511990,https://www.eltiempo.com//opinion/columnistas/luis-carlos-villegas/rayos-en-asia-truenos-en-america-columna-de-luis-carlos-villegas-511990,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,8,25
3e900e6ad867e6b7705990a960c82bdd,"¿Sergio Fajardo, candidato a la presidencia de la República, es un hombre “tibio” como dicen sus oponentes? El exgobernador de Antioquia y exalcalde de Medellín se apresura a responder: “No voy a perder tiempo en peloteras e insultos y ofensas para mostrarme como un valiente”.(Le recomendamos: Supuestos 'hackers' de Anonymous habrían tumbado sitios web de Uribe)",‘El Centro Democrático no va a continuar en el poder’: Sergio Fajardo,https://www.eltiempo.com/politica/partidos-politicos/sergio-fajardo-le-pide-a-alvaro-uribe-que-se-retire-y-habla-de-su-campana-a-la-presidencia-en-2022-511978,D:\Learning\Platzi\python\Webscreapper\eltiempo,www.eltiempo.com,7,29
