body,title,url
"Álex Gil, actor y director caleño, rinde homenaje a la memoria de su madre, Adriana Giraldo:Cada recuerdo, cada objeto de la casa guarda una historia de hace tantos años. Mi papá, Nelson González, se acuerda y se derrumba. Para él ha sido muy duro la muerte de mi mamá. Y mi hermana Ana María ha hecho un despertar muy lindo. Ella fue la niña de mi mamá todo este tiempo y ahora es la niña de mi papá. Se ha convertido en su sostén, entonces hay una relación muy linda de padre e hija que se ha fortalecido y me parece que es algo que vale la pena contar.Mi mamá sobrevivió a un cáncer de seno hace 16 años. Le hicieron una mastectomía total de uno de sus senos, pero ella lo asumió con mucha entereza y con un gran propósito: ayudó a las personas que también debieron afrontar esa situación. Y ella se supo sobreponer. Tuvo el coraje de no dejarse sentir menos y de mostrarle al mundo que no lo era. Mi mamá: Virgo, analítica, dulce, con un sentido del humor espectacular, que creó grandes amistades y a quien veían como una consejera, como una persona en quien confiar por todas sus virtudes.El 4 de junio cumplió dos meses de haberse ido. El resultado de su prueba de coronavirus, que llegó después de su muerte, dio positivo. Ni siquiera me dejaron despedirme. Sin embargo, el no haber visto a mi mamá muerta fue importante, porque si a todos se nos va a morir la mamá, es esa imagen la que uno no quiere ver. Prefiero recordarla como una mujer que desde su trabajo y con sus acciones le sumaba a la sociedad. Prefiero recordar esos 20 días conmigo en Argentina; estuvimos en paseos espectaculares, me acompañó a mis grabaciones y fuimos a bailar tango. Prefiero recordar el viaje en crucero para celebrar los 15 años de Ana María y la excursión a la que no fui por verla nacer. Prefiero recordarla haciendo lo que le gustaba y no pensar en eso que quedó pendiente: todo. Vivir.","""Nos quedamos sin muchos abrazos tras la muerte de mi mamá"": Alex Gil, actor y director caleño",http://www.elpais.com.co/multimedia/videos/nos-quedamos-sin-muchos-abrazos-tras-la-muerte-de-mi-mama-alex-gil-actor-y-director-caleno.html
"En el Valle del Cauca se encendieron las alarmas por el alto número de casos de feminicidio que se han registrado en lo corrido del año y que han mostrado un preocupante aumento en las últimas dos semanas.Yurani Romero, secretaria de la Mujer, Equidad de Género y Diversidad Sexual del Departamento, señaló que en el Vallen han ocurrido 19 de los 76 asesinatos de mujeres reportados en todo el país.Asimismo, la funcionaria indicó que entre el 11 y el 25 de junio se han presentado 11 homicidios con víctimas femeninas en Cali, Pradera, Tuluá, La Unión, Buenaventura y Yumbo, solo uno de los cuales ha sido tipificado como feminicidio.""Sin duda alguna esto nos lleva a hacer un llamado urgente para que trabajemos de manera conjunta, para que prendamos esas alertas, (...) y para fortalecer las estrategias que ya se vienen implementando, tanto de la Gobernación como de las instituciones que hacen parte de la ruta, para que tengamos acciones de prevención, detección y atención de las violencias hacia las mujeres"", dijo la Secretaria.",Gobernación alerta por aumento de los feminicidios en el Valle del Cauca,http://www.elpais.com.co/valle/gobernacion-alerta-por-aumento-de-los-feminicidios-en-el-del-cauca.html
"Después de que pasara el fervor por la candidatura de Colombia al Mundial Femenino del 2023, que no prosperó, la Federación Colombiana de Fútbol estaría a punto de enfrentar un partido mucho más complicado: la investigación de la Superintendencia de Industria y Comercio por el tema de la reventa de la boletería de las eliminatorias hacia el Mundial de Rusia 2018.",¿Tiembla Jesurún? El escándalo que dejaría a Jorge Enrique Vélez como presidente de la Federación,http://www.elpais.com.co/deportes/futbol-colombiano/tiembla-jesurun-el-escandalo-que-dejaria-a-jorge-enrique-velez-como-presidente-de-la-federacion.html
"Barcelona y Juventus oficializaron este lunes el cambio de cromos en su mediocampo: el joven brasileño Arthur Melo partirá hacia Italia, mientras que el veterano bosnio Miralem Pjanic y 12 millones de euros de superávit viajarán a la ciudad catalana.Los dos traspasos fueron anunciados con pocos minutos de diferencia por el FC Barcelona, que conseguirá 72 millones de euros (unos 81 millones de dólares) más diez variables por el traspaso del brasileñpo y pagará 60 millones y cinco variables por la incorporación del bosnio.A nivel futbolístico, la operación resultó controvertida en el entorno mediático azulgrana por el hecho de perder a una joven promesa de 23 años a cambio de un futbolista de 30 años para una plantilla ya envejecida con sus principales figuras como Messi, Luis Suárez o Piqué superando la treintena.Se trata de una de las principales transacciones de este verano (boreal) marcado por la crisis del coronavirus, que paralizó casi por completo el fútbol europeo y puso en dificultades económicas a muchos clubs.El fichaje supera la cantidad superada por la activación de la opción de compra del argentino Mauro Icardi (Inter de Milán) en el París Saint-Germain (menos de 60 millones de euros), y la llegada del alemán Timo Werner (del Leipzig) al Chelsea por otros 60 millones de euros.Le puede interesar: Barsa confirmó el traspaso de Arthur a la Juve por 72 millones de euros",¡Trueque confirmado! Barsa fichó a Pjanic y Arthur se va para la Juventus,http://www.elpais.com.co/deportes/futbol-internacional/trueque-confirmado-barsa-ficho-a-pjanic-y-arthur-se-va-para-la-juventus.html
"Ir al Zoológico de Cali nunca fue una experiencia tan surrealista. A quien  haya comprado las boletas   vía online, no solo deberá dejarse tomar la temperatura y frotar sus pies sobre un tapete antiséptico, sino también dar sus datos  por razones de trazabilidad epidemiológica. Cada gesto es un protocolo. Y el niño con la careta de tigre no deja de sonreír, como si no hubiese vuelto a visitar ese lugar desde un tiempo remoto. El Zoológico ya completa ocho días de reabrir sus puertas. Los más de tres meses que estuvo cerrado a raíz de la cuarentena fueron suficientes para que el lugar experimentara el golpe económico más duro en su historia. Y aún hoy siente sus secuelas: en lo corrido de la semana solo han recibido cerca de 600 visitantes.  “Quisiéramos que diariamente fueran entre 500 y 800 personas, lo que se traduce en el 25 % de nuestro aforo regular”, comenta María Clara Domínguez, directa de la Fundación Zoológico de Cali. “Es probable que a la gente todavía le cueste comprar las entradas en Internet, a través de este enlace, por lo que pensamos aplicar en julio es una estrategia para habilitar las ventanillas”.",Lo que debe saber para volver al Zoológico en tiempos de pandemia,http://www.elpais.com.co/cali/lo-que-debe-saber-para-volver-al-zoologico-en-tiempos-de-pandemia.html
Miles de caleños acudieron a establecimientos comerciales este viernes para aprovechar el descuento del 19 % que corresponde al IVA. Imágenes de cómo se desarrolló la jornada.,"En video: filas interminables y aglomeraciones, así fue la primera jornada del Día sin IVA en Cali",http://www.elpais.com.co/multimedia/videos/en-video-filas-interminables-y-aglomeraciones-asi-fue-la-primera-jornada-del-dia-sin-iva-en.html
"En tiempos de pandemia y de aislamiento social hay un temor entre los solteros o entusados  a quedarse sin pareja, pero que no cunda el pánico, la conquista también está de reinvención y psicólogos y sexólogos tienen una serie de consejos para poner en práctica y no morir en el intento de conocer gente nueva o de tener una relación a prueba de covid. Cupido se ha reinventado por completo, y en tiempos de coronavirus, tira sus dardos a través de la tecnología y une  a personas con intereses similares a través de aplicaciones de citas y con herramientas como las videollamadas, los encuentros y las cenas virtuales.Por estos días en que la salud se ve comprometida con el contacto físico,  apps como Tinder son la manera más segura de conocer a alguien y concertar una cita. Mónica y Diego se conocieron a través de dicha app y luego acordaron una cena virtual a través de Houseparty, otra app, con velas y un ambiente absolutamente romántico. Incluso, cada uno se preparó una exquisita cena y compartieron el momento con la misma expectativa y ansiedad que en un encuentro cara a cara.En Meetic proponen una veintena de preguntas para que los usuarios aprovechen el confinamiento para conocerse mejor como, por ejemplo, “¿A dónde viajaste por última vez?”, “¿Estás leyendo algo interesante?”, o “¿Con quién de tu familia tienes más confianza?”. Ana, usuaria de estas apps de citas, dice que la esperanza es “verse  cuando la cuarentena termine”. Pedro, otro usuario, comenta que “las conversaciones son más aburridas, porque hay menos cosas que contar,   un ‘¿qué tal tu día?’ puede tener la misma respuesta en distintas conversaciones, ya que todos estamos  pasando su día en casa, haciendo prácticamente las mismas cosas: teletrabajo, picnics casuales, series de TV, juegos de mesa”.","Cuarentena en soltería: ¿cómo volver a ligar, sin contagiar?",http://www.elpais.com.co/sexualidad/cuarentena-en-solteria-como-volver-a-ligar-sin-contagiar.html
"Varias son las medidas de bioseguridad adaptadas en el aeropuerto internacional Alfonso Bonilla Aragón de Palmira contra el covid-19. Con este protocolo, el aeropuerto busca ser uno de los terminales piloto en las revisiones del Gobierno para lograr el aval de reapertura.",Video: así se prepara el aeropuerto Bonilla Aragón para eventual apertura,http://www.elpais.com.co/multimedia/videos/video-asi-se-prepara-el-aeropuerto-bonilla-aragon-para-eventual-apertura.html
"A la edad de 52 años y en la clínica San Francisco de Tuluá, falleció en las últimas horas el sacerdote William Mayor Posso de la parroquia Nuestra Señora de las Mercedes de Zarzal.Es de recordar que el religioso se encontraba en ese centro asistencial desde el pasado 11 de junio cuando fue remitido del hospital San Rafael de Zarzal. Desde entonces se encontraba en la Unidad de Cuidados Intensivos bajo observación médica.Las personas que estaban con el párroco manifestaron que el religioso fue encontrado tirado en el suelo convulsionando y de inmediato lo llevaron al hospital local para su valoración.",Falleció en Tuluá sacerdote de la parroquia Las Mercedes de Zarzal,http://www.elpais.com.co/valle/fallecio-en-tulua-sacerdote-de-la-parroquia-las-mercedes-de-zarzal.html
"Luis Alberto González habla sobre su hermano Óscar:Óscar era el ángel protector de la familia. Su pasión por la medicina y por ayudar a los demás nos llenaba de orgullo. Nosotros somos ocho hermanos. Nacimos en Buenaventura, pero varios vinimos a Cali desde niños. Somos muy unidos, pero él y yo teníamos un vínculo especial, una conexión que no se tiene con nadie más.  Era un gran estudiante. En 1980 se graduó como el mejor bachiller. Mi hermanito fue muy pilo, tenía un don de gente impresionante. A pesar de tener un carácter serio -mundo viejo”, como dicen los abuelos-, él sabía cómo llegarle a las personas. Las calmaba y les ayudaba a estar en paz, sin importar el padecimiento que tuvieran.  Mi pana, cómo a veces le decía, era hogareño. Le gustaban la salsa y el bolero, pero no era rumbero. Casi todos los domingos nos reuníamos en familia. El 5 de marzo cumplió 57 años. Ese día hablamos. Nos advirtió sobre la importancia de cuidarnos y de seguir los protocolos de salud porque el Covid-19 le pude dar a cualquiera en el momento menos pensado.   Siendo él médico, ¿quién iba a pensar que le podría dar coronavirus? El 29 de marzo reportó dolores y al día siguiente ya se estaba ahogando. Lo llevamos a la clínica y quedó aislado. Tuvo días buenos y malos. Fue un proceso muy difícil, sentíamos mucha incertidumbre, aunque curiosamente esto unió más a la familia. Por videollamada nos conectábamos para realizar cadenas de oración, fueron momentos de conexión espiritual y familiar muy fuertes.  Uno de nuestros hermanos cumplió años el 15 de abril. En la noche, poco antes de llamarlo para saludarlo y saber cómo estaba, recibí la noticia de que Óscar falleció. Fue un momento terrible. Tener que decirle a la familia que mi hermano se murió justo en esa fecha fue algo que me partió el alma. Pero creo que una de las cosas más difíciles de todo esto es que, al día siguiente, el único hijo de mi hermano cumplía 16 años. Afortunadamente él es un joven muy fuerte y maduro, igual a su padre. Sin embargo, todos sabemos que el verdadero dolor se lleva adentro. Por ejemplo, mi madre, una señora de 92 años se ha mostrado fuerte para la familia, pero yo sé que ella está sufriendo mucho por la muerte de Óscar, él mantenía pendiente de ella, la consentía mucho. Ningún padre o madre espera que un hijo se vaya antes porque el dolor es algo impresionante. El último gran momento que compartí con mi hermano fue en diciembre, en la reunión familiar que hacemos todos. Ese día conversamos de todo, nos reímos y compartimos con todos, lo vi demasiado feliz. Pero ahora sin él no va a ser lo mismo, cada que pienso en ese momento me pongo a llorar porque sé que era algo que disfrutábamos mucho, estar en familia.","Óscar, el médico que perdió la batalla contra el Covid-19 en Cali ",http://www.elpais.com.co/multimedia/videos/o-scar-el-me-dico-que-perdio-la-batalla-contra-el-covid-19-en-cali.html
